INDUSTRIA,DESCRIPCIÓN DE INDUSTRIA,TEMA,PARÁMETRO DE CONTABILIDAD,CATEGORÍA,UNIDAD DE MEDIDA,CÓDIGO
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Gestión de sustancias químicas en los productos,Análisis de los procesos para mantener el cumplimiento de la regulación sobre sustancias restringidas,Debate y análisis,n/a,CG-AA-250a.1
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Gestión de sustancias químicas en los productos,Análisis de los procesos para evaluar y gestionar los riesgos o peligros asociados a las sustancias químicas en los productos,Debate y análisis,n/a,CG-AA-250a.2
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Efectos ambientales en la cadena de suministro,Porcentaje de (1) instalaciones de proveedores de nivel 1 y (2) sus instalaciones de proveedores de nivel superior al 1 en cumplimiento de las autorizaciones de vertido de aguas residuales o acuerdos contractuales,Cuantitativo,Porcentaje (%),CG-AA-430a.1
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Efectos ambientales en la cadena de suministro,Porcentaje de (1) instalaciones de proveedores de nivel 1 y (2) sus instalaciones de proveedores de nivel superior al 1 que han completado la evaluación del Módulo Ambiental de las Instalaciones de Higg (Higg FEM) de la Coalición de Ropa Sostenible o una evaluación de datos ambientales equivalentes,Cuantitativo,Porcentaje (%),CG-AA-430a.2
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Condiciones laborales en la cadena de suministro,"Porcentaje de (1) instalaciones de proveedores de nivel 1 y (2) sus instalaciones de proveedores de nivel superior al 1 que han sido auditadas de acuerdo con un código de conducta laboral, (3) porcentaje del total de auditorías realizadas por un auditor externo",Cuantitativo,Porcentaje (%),CG-AA-430b.1
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Condiciones laborales en la cadena de suministro,Tasa de no conformidad prioritaria y tasa de medidas correctivas asociadas para las auditorías del código de conducta laboral de los proveedores,Cuantitativo,Velocidad,CG-AA-430b.2
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Condiciones laborales en la cadena de suministro,"Descripción de los mayores (1) riesgos laborales y (2) ambientales, de salud y seguridad en la cadena de suministro",Debate y análisis,n/a,CG-AA-430b.3
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Suministro de materias primas,"(1) Lista de materias primas prioritarias, para cada materia prima: (2) factores medioambientales o sociales con mayor probabilidad de amenazar el abastecimiento, (3) análisis de los riesgos u oportunidades comerciales en relación con los factores medioambientales o sociales y (4) estrategia de gestión para abordar los riesgos y oportunidades comerciales",Debate y análisis,n/a,CG-AA-440a.3
"Ropa, accesorios y calzado","El sector de ropa, accesorios y calzado incluye empresas dedicadas al diseño, la fabricación, la venta al por mayor y al por menor de diversos productos, tales como ropa para hombres, mujeres y niños, bolsos, joyas, relojes y calzado. Los productos son fabricados en gran medida por vendedores de los mercados emergentes, lo que permite a las empresas del sector centrarse principalmente en el diseño, la venta al por mayor, la comercialización, la gestión de la cadena de suministro y las actividades de venta al por menor. Less",Suministro de materias primas,"(1) Cantidad de materias primas prioritarias adquiridas, por material, y (2) cantidad de cada materia prima prioritaria certificada por un estándar medioambiental o social externo, por estándar",Cuantitativo,Toneladas métricas (t),CG-AA-440a.4
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Seguridad de los productos,Cantidad de (1) retiradas emitidas y (2) total de unidades retiradas²,Cuantitativo,Número,CG-AM-250a.1
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Seguridad de los productos,Análisis del proceso para identificar y gestionar los riesgos de seguridad asociados al uso de sus productos,Debate y análisis,n/a,CG-AM-250a.2
